main_brand,color,sold_price,category,score,size,genda,condition_encoded
Supreme,White,188.0,Bottom,5.0,m,Men,1
Takahiromiyashita The Soloist.,Black,100.0,Footwear,5.0,m,Men,1
Travis Scott,Black,80.0,Top,5.0,m,Men,0
Tommy Hilfiger,Brown,45.0,Outerwear,5.0,l,Men,2
Champion,Grey,39.0,Top,5.0,m,Men,2
Hedi Slimane,Black,305.0,Outerwear,5.0,s,Men,2
Valentino,White,127.0,Top,5.0,l,Men,1
Seditionaries,Brown,89.0,Top,5.0,m,Men,2
Hawaiian Shirt,multi_color,40.0,Top,5.0,xxl,Men,1
Ysl Pour Homme,Blue,145.0,Bottom,5.0,l,Men,1
Levi's,Brown,48.0,Bottom,5.0,s,Men,1
Reebok,White,200.0,Footwear,5.0,m,Men,1
Stussy,Black,107.0,Footwear,5.0,m,Men,1
Off-White,White,185.0,Footwear,5.0,xs,Men,1
Military,Green,128.0,Bottom,5.0,m,Men,2
Hanes,White,45.0,Top,5.0,xl,Men,1
Nike,Green,57.0,Bottom,5.0,s,Men,2
Calvin Klein,White,48.0,Acceorie,5.0,ONE SIZE,Men,2
Palace,Black,135.0,Top,5.0,l,Men,0
Ralph Lauren,Brown,50.0,Bottom,5.0,l,Men,1
Saint Laurent Paris,Black,430.0,Top,5.0,m,Women,0
Kapital,Navy,517.0,Outerwear,5.0,l,Men,0
Disney,Red,58.0,Top,5.0,m,Men,1
Distressed Denim,Denim,71.0,Bottom,5.0,m,Men,1
Kappa,Black,40.0,Outerwear,5.0,xl,Men,1
Lacoste,Striped,65.0,Top,5.0,l,Men,1
Avant Garde,Blue,45.0,Top,5.0,l,Men,1
Virgil Abloh,White,51.0,Top,5.0,s,Men,2
Russell Athletic,Grey,90.0,Top,5.0,xl,Men,1
Mickey Mouse,Grey,69.0,Top,5.0,l,Men,2
Burberry,multi_color,90.0,Acceorie,5.0,ONE SIZE,Men,2
Acne Studios,Black,80.0,Top,5.0,l,Men,2
Balenciaga,Black,760.0,Footwear,5.0,s,Men,3
Band Tees,Grey,60.0,Top,5.0,s,Women,1
Harley Davidson,Grey,44.0,Top,5.0,l,Men,2
Polo Ralph Lauren,multi_color,125.0,Top,5.0,xl,Men,1
The North Face,Blue,150.0,Outerwear,5.0,l,Men,1
Hype,Blue,45.0,Outerwear,5.0,l,Men,1
Puma,White,55.0,Footwear,5.0,l,Men,1
Gucci,Black,359.0,Footwear,5.0,m,Men,2
Dior,Cream,84.0,Bottom,5.0,xl,Men,2
Hysteric Glamour,Brown,156.0,Top,5.0,s,Men,2
Prada,Black,475.0,Acceorie,5.0,ONE SIZE,Men,2
Patagonia,Navy,125.0,Top,5.0,xl,Men,1
Dolce & Gabbana,Blue,140.0,Bottom,5.0,l,Men,1
Levi's Vintage Clothing,Blue,70.0,Bottom,5.0,m,Men,2
Dickies,multi_color,53.0,Bottom,5.0,m,Men,0
Bape,Brown,44.0,Acceorie,5.0,ONE SIZE,Men,0
MLB,Navy,50.0,Top,5.0,l,Men,1
Uniqlo,Black,90.0,Top,5.0,m,Men,1
Vans,White,142.0,Footwear,5.0,m,Men,0
Rick Owens Drkshdw,Beige,440.0,Footwear,5.0,xl,Men,0
Adidas,Red,159.0,Outerwear,5.0,s,Men,2
Gildan,multi_color,41.0,Top,5.0,xl,Men,1
Kapital Kountry,Blue,335.0,Bottom,5.0,m,Men,1
Luxury,Blue,106.0,Outerwear,5.0,m,Men,0
Lee,Denim,54.0,Bottom,5.0,s,Men,2
NFL,Blue,75.0,Top,5.0,l,Men,1
Tour Tee,Black,31.0,Top,5.0,xl,Men,2
Guess,Grey,34.0,Top,5.0,s,Men,2
Gap,Brown,50.0,Top,5.0,m,Men,1
Converse,multi_color,82.0,Footwear,5.0,l,Men,1
Versace,Black,65.0,Bottom,5.0,l,Men,1
Yves Saint Laurent,Silver,178.0,Acceorie,5.0,ONE SIZE,Men,0
Maison Margiela,Black,1438.0,Outerwear,5.0,xxl,Men,0
Issey Miyake,Navy,150.0,Top,5.0,m,Men,2
Fruit Of The Loom,Green,37.0,Top,5.0,m,Men,1
Louis Vuitton,Black,120.0,Acceorie,5.0,ONE SIZE,Men,1
Rick Owens,Black,150.0,Acceorie,5.0,ONE SIZE,Men,0
Number (N)ine,White,52.0,Footwear,5.0,m,Men,2
NBA,Purple,40.0,Top,5.0,l,Men,1
Fila,Silver,40.0,Outerwear,5.0,l,Men,1
Versace Jeans Couture,Black,35.0,Top,5.0,m,Men,2
Anti Social Social Club,Black,34.0,Acceorie,5.0,ONE SIZE,Men,2
Undercover,White,60.0,Top,5.0,l,Men,2
Kanye West,Black,55.0,Top,5.0,m,Men,1
Supreme,Black,340.0,Outerwear,5.0,m,Men,1
Takahiromiyashita The Soloist.,Red,82.0,Footwear,5.0,m,Men,0
Travis Scott,Yellow,128.0,Top,5.0,m,Men,1
Tommy Hilfiger,Grey,80.0,Outerwear,5.0,m,Men,1
Champion,Grey,95.0,Top,5.0,m,Men,2
Hedi Slimane,Black,683.0,Bottom,5.0,m,Men,0
Valentino,Grey,80.0,Top,5.0,l,Men,2
Seditionaries,White,105.0,Top,5.0,m,Men,2
Hawaiian Shirt,Red,51.0,Top,5.0,m,Men,1
Ysl Pour Homme,Black,200.0,Outerwear,5.0,xxl,Men,1
Levi's,Denim,93.0,Bottom,5.0,m,Men,0
Reebok,Black,326.0,Footwear,5.0,m,Men,0
Stussy,Pink,115.0,Footwear,5.0,m,Men,0
Off-White,multi_color,285.0,Footwear,5.0,s,Men,0
Military,Green,230.0,Outerwear,5.0,s,Men,2
Hanes,Blue,40.0,Top,5.0,xl,Men,1
Nike,White,140.0,Bottom,5.0,xl,Men,0
Calvin Klein,Khaki,47.0,Bottom,5.0,m,Men,2
Palace,Black,230.0,Outerwear,5.0,xs,Men,0
Ralph Lauren,Black,90.0,Top,5.0,m,Men,2
Saint Laurent Paris,Black,200.0,Top,5.0,m,Men,1
Kapital,Indigo,175.0,Bottom,5.0,s,Men,2
Disney,Blue,115.0,Outerwear,5.0,l,Men,2
Distressed Denim,Denim,108.0,Bottom,5.0,s,Men,2
Kappa,multi_color,57.0,Top,5.0,l,Men,1
Lacoste,Blue,49.0,Top,5.0,l,Men,2
Avant Garde,Black,329.0,Top,5.0,xl,Men,1
Virgil Abloh,White,77.0,Top,5.0,m,Men,1
Russell Athletic,Navy,55.0,Top,5.0,s,Men,2
Mickey Mouse,Blue,49.0,Top,5.0,l,Men,1
Burberry,Brown,87.0,Acceorie,5.0,ONE SIZE,Men,2
Acne Studios,Blue,165.0,Bottom,5.0,s,Men,1
Balenciaga,Black,110.0,Bottom,5.0,xs,Men,2
Band Tees,White,87.0,Top,5.0,l,Men,1
Harley Davidson,Black,35.0,Top,5.0,xl,Men,2
Polo Ralph Lauren,Grey,32.0,Top,5.0,xl,Men,2
The North Face,Black,55.0,Outerwear,5.0,xl,Men,1
Hype,multi_color,61.0,Top,5.0,l,Men,1
Puma,Black,39.0,Outerwear,5.0,xxl,Men,2
Gucci,Brown,400.0,Footwear,5.0,m,Men,2
Dior,Brown,90.0,Acceorie,5.0,ONE SIZE,Men,1
Hysteric Glamour,Grey,110.0,Top,5.0,m,Women,1
Prada,Brown,93.0,Acceorie,5.0,ONE SIZE,Men,1
Patagonia,Grey,70.0,Outerwear,5.0,l,Men,1
Dolce & Gabbana,Black,120.0,Bottom,5.0,m,Men,1
Levi's Vintage Clothing,Blue,100.0,Bottom,5.0,s,Men,2
Dickies,Khaki,42.0,Bottom,5.0,s,Men,2
Bape,Black,78.0,Top,5.0,l,Men,1
MLB,Black,32.0,Top,5.0,l,Men,1
Uniqlo,Black,75.0,Top,5.0,xl,Men,2
Vans,multi_color,35.0,Footwear,5.0,m,Men,1
Rick Owens Drkshdw,Black,200.0,Footwear,5.0,m,Men,2
Adidas,White,100.0,Top,5.0,s,Men,2
Gildan,Black,85.0,Top,5.0,l,Men,1
Kapital Kountry,Yellow,260.0,Footwear,5.0,m,Men,1
Luxury,Grey,95.0,Top,5.0,xl,Men,1
Lee,Grey,54.0,Top,5.0,l,Men,2
NFL,Grey,34.0,Top,5.0,xxl,Men,2
Tour Tee,Black,45.0,Top,5.0,m,Men,2
Guess,White,34.0,Top,5.0,m,Men,2
Gap,Navy,35.0,Top,5.0,xxl,Men,1
Converse,Black,40.0,Footwear,5.0,xs,Men,1
Versace,Black,90.0,Top,5.0,xl,Men,1
Yves Saint Laurent,Grey,140.0,Footwear,5.0,xxl,Men,0
Maison Margiela,Black,320.0,Footwear,5.0,m,Men,1
Issey Miyake,Brown,140.0,Outerwear,5.0,m,Men,1
Fruit Of The Loom,Red,51.0,Top,5.0,xl,Men,1
Louis Vuitton,Brown,250.0,Footwear,5.0,s,Men,2
Rick Owens,White,370.0,Footwear,5.0,m,Men,1
Number (N)ine,Black,133.0,Top,5.0,m,Men,1
NBA,Purple,65.0,Top,5.0,m,Men,2
Fila,Blue,34.0,Outerwear,5.0,l,Men,1
Versace Jeans Couture,Blue,60.0,Top,5.0,l,Men,1
Anti Social Social Club,Black,129.0,Top,5.0,xxl,Men,0
Undercover,White,57.0,Top,5.0,m,Men,2
Kanye West,Maroon,70.0,Top,5.0,m,Men,1
Supreme,Grey,187.0,Outerwear,5.0,m,Men,1
Takahiromiyashita The Soloist.,multi_color,140.0,Footwear,5.0,m,Men,1
Travis Scott,Brown,59.0,Top,5.0,m,Men,0
Tommy Hilfiger,multi_color,80.0,Top,5.0,l,Men,2
Champion,Navy,32.0,Top,5.0,m,Men,1
Hedi Slimane,Brown,455.0,Bottom,5.0,xs,Men,1
Valentino,Black,403.0,Tailoring,5.0,m,Men,1
Seditionaries,Grey,60.0,Top,5.0,m,Men,2
Hawaiian Shirt,White,50.0,Top,5.0,xl,Men,0
Ysl Pour Homme,Black,90.0,Top,5.0,m,Men,1
Levi's,Blue,113.0,Bottom,5.0,xs,Men,2
Reebok,White,275.0,Footwear,5.0,s,Women,1
Stussy,Pink,100.0,Footwear,5.0,m,Men,0
Off-White,White,192.0,Footwear,5.0,m,Men,2
Military,Olive,125.0,Bottom,5.0,l,Men,1
Hanes,Maroon,109.0,Top,5.0,l,Men,2
